key,en,de,es,it,ru,ko,jp
MOUSE_BUTTON_MIDDLE,Middle Mouse Button,,Botón del Mouse Medio,Tasto centrale del mouse,,Middle Mouse Button,Middle Mouse Button
MOUSE_BUTTON_RIGHT,Right Mouse Button,,Botón del Mouse Derecho,Tasto destro del mouse {interact_key},Правая кнопка мыши,Right Mouse Button,Right Mouse Button
JOY_BUTTON_RIGHT_SHOULDER,Right Shoulder Button,,Botón del hombro Derecho,Tasto laterale destro {interact_key},,Right Shoulder Button,Right Shoulder Button
JOY_BUTTON_LEFT_SHOULDER,Left Shoulder Button,,Botón del hombro Izquierdo,Tasto laterale sinistro {interact_key},,Left Shoulder Button,Left Shoulder Button
OPEN_WITH,open with {interact_key},Öffnen mit {interact_key},,Apri con {interact_key},,open with {interact_key},open with {interact_key}
CLOSE_WITH,close with {interact_key},Schließen mit {interact_key},,Chiudi con {interact_key},,close with {interact_key},close with {interact_key}
LEAVE_WITH,leave with {interact_key},Verlassen mit {interact_key},,Lascia con {interact_key},,leave with {interact_key},leave with {interact_key}
PLAY_TUTORIAL,Play Tutorial,Tutorial Starten,,Gioca al tutorial, ,Play Tutorial,Play Tutorial
START_NEW_GAME,Start New Game,Neues Spiel Starten,,Inizia un nuovo gioco,Начать новую игру,Start New Game,Start New Game
SETTINGS,Settings,Einstellungen,,Impostazioni,Настройки,Settings,Settings
CREDITS,Credits,Credits,,Crediti,Титры,Credits,Credits
QUIT_GAME,Quit Game,Spiel Beenden,,Abbandona il gioco,Выйти из игры,Quit Game,Quit Game
BACK_TO_GAME,Continue,Weiter,,Continua,Продолжить,Continue,Continue
